SPECTRUM,DATE,TIME,LIVE,REAL
202306070134_8MeV_Co_Xm12_Zp12-01-00.csv,23-06-07,01:30:09,229.52,230.22
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
1630,0,0,0,0,0,0,0,0,1,0
1640,0,0,0,0,0,0,0,0,0,0
1650,0,1,0,1,0,0,0,0,0,0
1660,0,0,0,0,1,0,0,1,1,0
1670,0,0,1,1,1,0,0,1,0,0
1680,0,0,0,0,0,0,0,0,1,0
1690,0,0,0,0,0,1,0,0,1,0
1700,0,0,2,0,0,0,1,0,0,0
1710,2,0,0,0,0,0,0,0,0,0
1720,0,0,0,0,1,2,0,0,0,1
1730,0,0,0,0,0,1,0,0,0,1
1740,1,0,0,1,0,0,0,0,0,0
1750,0,0,0,0,1,0,0,0,0,0
1760,0,0,1,0,0,0,1,1,0,0
1770,0,1,0,0,0,0,0,0,0,0
1780,2,1,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,1,0,1,0,0
1800,0,2,1,1,0,0,0,0,0,0
1810,0,0,0,0,0,0,0,0,0,1
1820,0,0,0,0,0,0,0,0,1,1
1830,0,0,0,1,2,1,1,0,1,0
1840,0,0,1,0,1,2,0,0,0,0
1850,0,0,0,0,1,2,0,0,1,1
1860,0,1,0,2,0,1,0,0,0,1
1870,1,0,0,0,0,1,0,0,1,1
1880,0,0,1,1,0,0,0,0,1,0
1890,0,0,0,0,2,0,0,1,0,0
1900,0,1,0,0,0,0,0,1,2,1
1910,0,0,0,1,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,1,0,1
1930,0,3,1,0,0,0,0,0,1,0
1940,0,0,0,0,0,1,0,0,0,2
1950,0,0,0,1,0,1,0,1,1,0
1960,1,2,0,0,1,2,0,1,0,0
1970,1,0,0,0,1,0,1,0,0,0
1980,0,0,0,1,0,0,0,0,0,0
1990,0,0,0,1,1,0,1,1,2,2
2000,0,1,0,1,1,0,0,0,0,3
2010,0,0,0,0,0,0,1,1,1,2
2020,0,0,0,0,0,0,2,0,0,0
2030,0,1,1,0,0,1,2,0,2,0
2040,0,3,0,0,0,2,1,1,1,0
2050,0,1,0,1,0,0,1,0,1,2
2060,0,0,0,1,0,0,0,1,1,0
2070,0,1,1,0,0,1,0,1,0,1
2080,0,2,0,0,0,1,0,0,2,0
2090,0,4,0,1,1,1,0,0,0,0
2100,0,0,1,1,0,0,0,2,0,0
2110,0,2,1,1,0,1,2,0,1,2
2120,0,1,2,0,0,0,0,0,1,3
2130,1,0,0,1,1,2,1,1,0,0
2140,1,1,3,1,0,0,1,0,0,0
2150,0,1,1,0,1,0,1,0,2,1
2160,1,0,0,1,0,1,2,0,1,0
2170,1,1,0,0,2,1,2,2,3,1
2180,2,0,1,0,0,0,1,2,1,0
2190,1,2,1,0,1,1,0,0,2,1
2200,0,0,3,1,2,0,1,1,2,0
2210,3,4,1,1,1,1,0,2,0,3
2220,0,0,1,1,2,1,1,1,2,0
2230,1,0,0,1,0,1,1,1,1,2
2240,2,1,0,1,2,1,0,1,2,1
2250,1,0,1,1,2,0,1,0,0,1
2260,0,2,1,3,0,1,1,1,1,1
2270,0,1,0,2,4,2,0,0,0,0
2280,3,1,1,3,3,0,0,2,0,0
2290,1,0,1,4,0,1,3,0,1,3
2300,0,1,1,0,1,0,1,1,3,1
2310,0,3,3,0,4,2,1,0,2,1
2320,1,1,2,2,3,1,0,6,1,0
2330,1,0,1,1,1,0,2,0,2,1
2340,1,1,3,3,0,2,3,2,2,1
2350,4,3,1,4,0,3,2,0,1,3
2360,1,2,0,3,4,4,2,2,6,1
2370,3,4,1,5,3,2,3,2,0,3
2380,2,0,2,1,2,2,3,1,3,3
2390,3,2,6,2,0,1,3,3,4,2
2400,1,2,3,5,1,3,7,0,4,2
2410,2,1,1,0,4,3,3,4,3,2
2420,0,3,3,1,2,1,6,3,5,6
2430,4,2,2,3,5,5,6,6,1,2
2440,2,0,0,0,0,0,0,0,0,0
2450,0,0,0,0,0,0,0,0,0,0
2460,0,0,0,0,0,0,0,0,0,0
2470,0,0,0,0,0,0,0,0,0,0
2480,0,0,0,0,0,0,0,0,0,0
2490,0,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0,0,0
2510,0,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,0
2530,0,0,0,0,0,0,0,0,0,0
2540,0,0,0,0,1,0,0,0,0,0
2550,0,0,0,0,0,0,0,0,0,0
2560,0,0,0,0,0,0,0,0,0,0
2570,0,0,0,0,0,0,0,0,0,0
2580,0,0,0,0,0,0,0,0,0,0
2590,0,0,0,0,0,0,0,0,0,0
2600,0,0,0,0,0,0,0,0,0,0
2610,0,0,0,0,0,0,0,0,0,0
2620,0,0,0,0,0,0,0,0,0,0
2630,0,0,0,0,0,1,0,0,0,0
2640,0,0,0,0,0,0,0,0,0,0
2650,0,0,0,0,0,0,0,0,0,0
2660,0,0,0,0,1,0,0,0,0,0
2670,0,0,0,0,0,0,0,0,0,0
2680,0,0,0,0,0,0,0,0,0,0
2690,0,0,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,0,0,0
2710,0,0,0,0,1,0,0,0,0,0
2720,1,0,0,0,0,0,0,0,0,0
2730,0,0,0,0,0,0,0,0,0,0
2740,0,0,0,0,0,0,0,0,0,0
2750,0,0,0,0,0,0,0,0,0,0
2760,0,0,0,0,0,0,0,0,0,0
2770,0,0,0,0,0,0,0,0,0,0
2780,0,0,0,0,0,0,0,0,0,0
2790,0,0,0,0,0,0,0,0,0,0
2800,0,0,0,0,0,0,0,0,0,0
2810,0,0,0,0,0,0,0,0,0,0
2820,0,0,0,0,0,0,0,0,0,0
2830,0,0,0,0,0,0,0,0,0,0
2840,0,0,0,0,0,0,0,0,0,0
2850,0,0,0,0,0,0,0,0,0,1
2860,0,0,0,0,0,0,0,0,0,0
2870,0,0,0,0,0,0,0,0,0,0
2880,0,0,0,0,0,1,0,0,0,0
2890,0,0,0,0,1,0,0,0,0,0
2900,0,0,0,1,0,0,0,0,0,0
2910,1,0,0,0,0,0,1,0,0,0
2920,0,0,0,0,0,0,0,0,0,0
2930,0,0,0,0,0,0,0,0,0,1
2940,1,0,0,0,0,0,0,0,0,0
2950,1,0,0,0,0,0,0,0,0,0
2960,0,0,0,0,0,0,0,0,0,0
2970,0,0,0,0,0,0,0,0,0,0
2980,0,0,0,0,0,0,0,0,0,0
2990,0,0,0,0,0,0,0,0,1,0
3000,0,0,0,0,0,0,0,0,0,0
3010,0,0,0,0,0,0,0,0,0,0
3020,0,0,0,0,0,0,0,0,0,0
3030,0,0,0,0,0,0,0,0,0,1
3040,0,0,0,0,0,0,0,0,0,0
3050,0,0,0,0,0,0,0,0,0,0
3060,0,0,0,0,0,0,0,0,0,0
3070,0,0,0,0,0,0,0,0,0,0
3080,0,0,0,0,0,0,0,0,0,0
3090,0,0,0,0,0,0,0,0,0,0
3100,0,0,0,0,0,0,0,0,0,0
3110,0,0,1,0,0,0,0,0,0,0
3120,0,0,0,0,0,0,0,0,0,0
3130,0,0,0,0,0,0,0,0,0,0
3140,0,0,0,0,0,0,0,0,0,0
3150,0,0,0,0,0,0,0,0,0,0
3160,1,0,0,0,0,0,0,0,0,0
3170,0,0,0,0,0,0,0,0,0,0
3180,0,0,0,0,0,0,0,0,0,0
3190,0,0,0,0,0,0,0,0,0,0
3200,0,0,0,0,0,0,0,1,0,0
3210,0,0,0,0,0,0,0,0,0,1
3220,0,0,0,0,0,0,0,0,0,0
3230,0,0,0,0,0,0,0,0,0,1
3240,0,0,0,0,0,0,0,0,0,0
3250,0,0,0,0,0,0,0,0,0,0
3260,0,1,0,0,0,2,0,0,0,0
3270,0,0,0,0,0,0,1,1,0,0
3280,0,0,0,0,0,0,0,0,0,1
3290,0,0,0,0,0,0,0,0,0,1
3300,0,0,1,0,0,0,0,0,0,0
3310,0,0,0,0,0,0,0,0,0,0
3320,0,0,0,0,0,0,0,1,0,0
3330,0,0,0,0,1,0,0,0,0,0
3340,0,0,0,0,0,0,0,1,0,0
3350,1,0,0,0,0,0,0,0,0,0
3360,1,0,0,0,0,1,0,1,0,0
3370,0,0,0,0,1,0,0,0,0,0
3380,0,0,0,0,0,1,0,0,0,0
3390,0,0,1,0,0,0,1,0,0,0
3400,0,0,0,0,0,0,0,0,0,0
3410,0,0,0,1,0,1,0,1,0,0
3420,0,0,0,0,0,0,0,0,0,1
3430,0,0,0,0,0,0,2,1,0,0
3440,0,0,0,0,1,0,0,0,0,0
3450,0,0,0,0,0,0,1,0,0,1
3460,0,0,0,0,0,0,0,0,0,0
3470,0,0,0,0,0,0,0,0,0,0
3480,0,0,0,0,0,0,0,0,0,0
3490,1,0,1,1,0,0,0,0,0,0
3500,0,0,1,0,0,0,1,0,0,0
3510,1,0,0,1,0,0,0,0,0,0
3520,0,0,0,0,1,0,0,0,1,0
3530,0,0,0,0,0,0,0,0,0,0
3540,0,0,0,0,2,0,0,0,0,0
3550,0,1,0,0,1,0,0,1,0,1
3560,0,0,0,0,0,1,0,0,0,0
3570,0,0,0,1,0,0,0,0,0,0
3580,0,0,0,1,0,0,0,1,0,0
3590,0,0,0,1,0,0,0,0,0,2
3600,0,1,0,0,0,0,1,0,0,1
3610,0,0,0,1,0,0,0,0,0,0
3620,0,0,1,0,0,0,0,0,0,0
3630,0,0,0,0,0,0,0,0,0,0
3640,0,0,0,0,0,0,0,0,0,0
3650,0,1,0,0,0,0,0,0,0,0
3660,0,0,0,0,0,0,0,0,0,0
3670,0,0,0,0,0,0,0,0,0,0
3680,0,0,0,0,0,0,0,0,0,0
3690,0,0,0,0,0,0,0,0,0,0
3700,0,0,0,0,0,0,0,0,0,0
3710,0,0,0,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,0,0,0
3730,0,0,0,0,0,0,0,0,0,0
3740,0,0,0,0,0,0,0,0,0,0
3750,0,0,0,0,0,0,0,0,0,0
3760,0,0,0,0,0,0,0,0,0,0
3770,0,0,0,0,0,0,0,0,0,0
3780,0,0,0,0,0,0,0,0,0,0
3790,0,0,0,0,0,0,0,0,0,0
3800,0,0,0,0,0,0,0,0,0,0
3810,0,0,0,0,0,0,0,0,0,0
3820,0,0,0,0,0,0,0,0,0,0
3830,0,0,0,0,0,0,0,0,0,0
3840,0,0,0,0,0,0,0,0,0,0
3850,0,0,0,0,0,0,0,0,0,0
3860,0,0,1,0,0,0,0,0,0,0
3870,0,0,0,0,0,0,0,0,0,0
3880,0,0,0,0,0,0,0,0,0,0
3890,0,0,0,0,0,0,0,0,0,0
3900,0,0,0,0,0,0,0,0,0,0
3910,0,0,0,0,0,0,0,0,0,0
3920,0,0,0,0,0,0,0,0,0,0
3930,0,0,0,0,0,0,0,0,0,0
3940,0,0,0,0,0,0,0,0,0,0
3950,0,0,0,0,0,0,0,0,0,0
3960,0,0,0,1,0,0,0,0,0,0
3970,0,0,0,0,0,0,0,0,0,0
3980,0,0,0,0,0,0,0,0,0,0
3990,0,0,0,0,0,0,0,0,0,0
4000,0,0,0,0,0,0,0,0,0,0
4010,0,0,0,0,0,0,0,0,0,0
4020,0,0,0,0,0,0,0,0,0,0
4030,0,0,0,0,0,0,0,0,0,0
4040,0,0,0,0,0,0,0,0,0,0
4050,0,0,0,0,0,0,0,0,0,0
4060,0,0,0,0,0,0,0,0,0,0
4070,0,0,0,0,0,0,0,0,0,0
4080,0,0,0,0,0,0,0,0,0,0
4090,0,0,0,0,0,0
